Year,Geographic Region,State,Group Method,Method,Suicides,Group Percentage
2010,Midwestern,Region Total,Veteran Method,Suffocation,204,14.5
2010,Midwestern,Region Total,Veteran Method,Other suicide,68,4.8
2010,Midwestern,Illinois,Veteran Method,Firearms,101,58.4
2010,Midwestern,Illinois,Veteran Method,Poisoning,31,17.9
2010,Midwestern,Illinois,Veteran Method,Suffocation,30,17.3
2010,Midwestern,Illinois,Veteran Method,Other suicide,11,6.4
2010,Midwestern,Indiana,Veteran Method,Firearms,97,71.3
2010,Midwestern,Indiana,Veteran Method,Suffocation,20,14.7
2010,Midwestern,Indiana,Veteran Method,Other and low-count methods,19,14
2010,Midwestern,Iowa,Veteran Method,Firearms,45,61.6
2010,Midwestern,Iowa,Veteran Method,Poisoning,13,17.8
2010,Midwestern,Iowa,Veteran Method,Other and low-count methods,15,20.5
2010,Midwestern,Kansas,Veteran Method,Firearms,49,71
2010,Midwestern,Kansas,Veteran Method,Other and low-count methods,20,29
2010,Midwestern,Michigan,Veteran Method,Firearms,123,64.4
2010,Midwestern,Michigan,Veteran Method,Poisoning,26,13.6
2010,Midwestern,Michigan,Veteran Method,Suffocation,29,15.2
2010,Midwestern,Michigan,Veteran Method,Other suicide,13,6.8
2010,Midwestern,Minnesota,Veteran Method,Firearms,55,57.3
2010,Midwestern,Minnesota,Veteran Method,Poisoning,18,18.8
2010,Midwestern,Minnesota,Veteran Method,Other and low-count methods,23,24
2010,Midwestern,Missouri,Veteran Method,Firearms,130,75.6
2010,Midwestern,Missouri,Veteran Method,Suffocation,21,12.2
2010,Midwestern,Missouri,Veteran Method,Other and low-count methods,21,12.2
2010,Midwestern,Nebraska,Veteran Method,Other and low-count methods,35,100
2010,Midwestern,North Dakota,Veteran Method,Other and low-count methods,23,100
2010,Midwestern,Ohio,Veteran Method,Firearms,195,71.4
2010,Midwestern,Ohio,Veteran Method,Poisoning,32,11.7
2010,Midwestern,Ohio,Veteran Method,Suffocation,29,10.6
2010,Midwestern,Ohio,Veteran Method,Other suicide,17,6.2
2010,Midwestern,South Dakota,Veteran Method,Other and low-count methods,19,100
2010,Midwestern,Wisconsin,Veteran Method,Firearms,90,62.9
2010,Midwestern,Wisconsin,Veteran Method,Suffocation,26,18.2
2010,Midwestern,Wisconsin,Veteran Method,Other and low-count methods,27,18.9
2010,Southern,Region Total,Veteran Method,Firearms,"1,961",73.4
2010,Southern,Region Total,Veteran Method,Poisoning,282,10.6
2010,Southern,Region Total,Veteran Method,Suffocation,320,12
2010,Southern,Region Total,Veteran Method,Other suicide,108,4
2010,Southern,Alabama,Veteran Method,Firearms,94,74.6
2010,Southern,Alabama,Veteran Method,Poisoning,16,12.7
2010,Southern,Alabama,Veteran Method,Other and low-count methods,16,12.7
2010,Southern,Arkansas,Veteran Method,Firearms,62,71.3
2010,Southern,Arkansas,Veteran Method,Suffocation,14,16.1
2010,Southern,Arkansas,Veteran Method,Other and low-count methods,11,12.6
2010,Southern,Delaware,Veteran Method,Other and low-count methods,14,100
2010,Southern,District of Columbia,Veteran Method,Other and low-count methods,<10, 
2010,Southern,Florida,Veteran Method,Firearms,387,68.3
2010,Southern,Florida,Veteran Method,Poisoning,85,15
2010,Southern,Florida,Veteran Method,Suffocation,69,12.2
2010,Southern,Florida,Veteran Method,Other suicide,26,4.6
2010,Southern,Georgia,Veteran Method,Firearms,147,77.4
2010,Southern,Georgia,Veteran Method,Suffocation,19,10
2010,Southern,Georgia,Veteran Method,Other and low-count methods,24,12.6
2010,Southern,Kentucky,Veteran Method,Firearms,89,80.2
2010,Southern,Kentucky,Veteran Method,Suffocation,10,9
2010,Southern,Kentucky,Veteran Method,Other and low-count methods,12,10.8
2010,Southern,Louisiana,Veteran Method,Firearms,86,80.4
2010,Southern,Louisiana,Veteran Method,Poisoning,11,10.3
2010,Southern,Louisiana,Veteran Method,Other and low-count methods,10,9.3
2010,Southern,Maryland,Veteran Method,Firearms,46,56.8
2010,Southern,Maryland,Veteran Method,Suffocation,18,22.2
2010,Southern,Maryland,Veteran Method,Other and low-count methods,17,21
2010,Southern,Mississippi,Veteran Method,Firearms,64,83.1
2010,Southern,Mississippi,Veteran Method,Other and low-count methods,13,16.9
2010,Southern,North Carolina,Veteran Method,Firearms,149,76.8
2010,Southern,North Carolina,Veteran Method,Suffocation,20,10.3
2010,Southern,North Carolina,Veteran Method,Other and low-count methods,25,12.9
2010,Southern,Oklahoma,Veteran Method,Firearms,81,70.4
2010,Southern,Oklahoma,Veteran Method,Suffocation,15,13
2010,Southern,Oklahoma,Veteran Method,Other and low-count methods,19,16.5
2010,Southern,South Carolina,Veteran Method,Firearms,86,72.3
2010,Southern,South Carolina,Veteran Method,Poisoning,16,13.4
2010,Southern,South Carolina,Veteran Method,Other and low-count methods,17,14.3
2010,Southern,Tennessee,Veteran Method,Firearms,108,75.5
2010,Southern,Tennessee,Veteran Method,Suffocation,16,11.2
2010,Southern,Tennessee,Veteran Method,Other and low-count methods,19,13.3
2010,Southern,Texas,Veteran Method,Firearms,369,73.5
2010,Southern,Texas,Veteran Method,Poisoning,35,7
2010,Southern,Texas,Veteran Method,Suffocation,69,13.7
2010,Southern,Texas,Veteran Method,Other suicide,29,5.8
2010,Southern,Virginia,Veteran Method,Firearms,128,74.9
2010,Southern,Virginia,Veteran Method,Suffocation,29,17
2010,Southern,Virginia,Veteran Method,Other and low-count methods,14,8.2
2010,Southern,West Virginia,Veteran Method,Other and low-count methods,60,100
2010,Western,Region Total,Veteran Method,Firearms,"1,102",65.6
2010,Western,Region Total,Veteran Method,Poisoning,268,15.9
2010,Western,Region Total,Veteran Method,Suffocation,229,13.6
2010,Western,Region Total,Veteran Method,Other suicide,82,4.9
2010,Western,Alaska,Veteran Method,Other and low-count methods,27,100
2010,Western,Arizona,Veteran Method,Firearms,147,72.4
2010,Western,Arizona,Veteran Method,Poisoning,31,15.3
