FIPS,county_name,total_households,living_alone,pct_living_alone
12073,"Leon County, Florida",118755.0,39208.0,33.02
12075,"Levy County, Florida",17843.0,5344.0,29.95
12077,"Liberty County, Florida",2447.0,708.0,28.93
12079,"Madison County, Florida",6693.0,2281.0,34.08
12081,"Manatee County, Florida",161656.0,44871.0,27.76
12083,"Marion County, Florida",154996.0,45744.0,29.51
12085,"Martin County, Florida",66724.0,21068.0,31.57
12086,"Miami-Dade County, Florida",952680.0,241691.0,25.37
12087,"Monroe County, Florida",34388.0,9616.0,27.96
12089,"Nassau County, Florida",36336.0,7947.0,21.87
12091,"Okaloosa County, Florida",83334.0,23493.0,28.19
12093,"Okeechobee County, Florida",14919.0,4157.0,27.86
12095,"Orange County, Florida",491378.0,119804.0,24.38
12097,"Osceola County, Florida",119817.0,25629.0,21.39
12099,"Palm Beach County, Florida",589594.0,180410.0,30.6
12101,"Pasco County, Florida",223385.0,63837.0,28.58
12103,"Pinellas County, Florida",418716.0,150581.0,35.96
12105,"Polk County, Florida",264145.0,64584.0,24.45
12107,"Putnam County, Florida",29782.0,9637.0,32.36
12109,"St. Johns County, Florida",102056.0,20781.0,20.36
12111,"St. Lucie County, Florida",126443.0,32456.0,25.67
12113,"Santa Rosa County, Florida",69524.0,14512.0,20.87
12115,"Sarasota County, Florida",199345.0,60257.0,30.23
12117,"Seminole County, Florida",183487.0,46908.0,25.56
12119,"Sumter County, Florida",64305.0,19578.0,30.45
12121,"Suwannee County, Florida",15453.0,3822.0,24.73
12123,"Taylor County, Florida",7465.0,2275.0,30.48
12125,"Union County, Florida",4094.0,874.0,21.35
12127,"Volusia County, Florida",232673.0,69413.0,29.83
12129,"Wakulla County, Florida",11932.0,3081.0,25.82
12131,"Walton County, Florida",31491.0,7537.0,23.93
12133,"Washington County, Florida",9095.0,2429.0,26.71
13001,"Appling County, Georgia",6890.0,1632.0,23.69
13003,"Atkinson County, Georgia",3063.0,692.0,22.59
13005,"Bacon County, Georgia",3909.0,1134.0,29.01
13007,"Baker County, Georgia",1097.0,322.0,29.35
13009,"Baldwin County, Georgia",15853.0,4883.0,30.8
13011,"Banks County, Georgia",6667.0,1504.0,22.56
13013,"Barrow County, Georgia",28781.0,5488.0,19.07
13015,"Bartow County, Georgia",38429.0,8261.0,21.5
13017,"Ben Hill County, Georgia",7126.0,2263.0,31.76
13019,"Berrien County, Georgia",6773.0,1686.0,24.89
13021,"Bibb County, Georgia",59480.0,20564.0,34.57
13023,"Bleckley County, Georgia",4223.0,992.0,23.49
13025,"Brantley County, Georgia",6649.0,2598.0,39.07
13027,"Brooks County, Georgia",5957.0,2138.0,35.89
13029,"Bryan County, Georgia",15255.0,2480.0,16.26
13031,"Bulloch County, Georgia",29634.0,8468.0,28.58
13033,"Burke County, Georgia",8913.0,3005.0,33.71
13035,"Butts County, Georgia",8483.0,1693.0,19.96
13037,"Calhoun County, Georgia",1497.0,406.0,27.12
13039,"Camden County, Georgia",20345.0,4983.0,24.49
13043,"Candler County, Georgia",4103.0,1389.0,33.85
13045,"Carroll County, Georgia",42996.0,9732.0,22.63
13047,"Catoosa County, Georgia",25775.0,5960.0,23.12
13049,"Charlton County, Georgia",4043.0,1233.0,30.5
13051,"Chatham County, Georgia",117383.0,36062.0,30.72
13053,"Chattahoochee County, Georgia",2031.0,326.0,16.05
13055,"Chattooga County, Georgia",9292.0,3108.0,33.45
13057,"Cherokee County, Georgia",97023.0,18272.0,18.83
13059,"Clarke County, Georgia",53336.0,18100.0,33.94
13061,"Clay County, Georgia",1143.0,439.0,38.41
13063,"Clayton County, Georgia",104820.0,29723.0,28.36
13065,"Clinch County, Georgia",2385.0,604.0,25.32
13067,"Cobb County, Georgia",291171.0,75222.0,25.83
13069,"Coffee County, Georgia",14894.0,3865.0,25.95
13071,"Colquitt County, Georgia",16539.0,4522.0,27.34
13073,"Columbia County, Georgia",50056.0,10970.0,21.92
13075,"Cook County, Georgia",6116.0,1697.0,27.75
13077,"Coweta County, Georgia",54177.0,11366.0,20.98
13079,"Crawford County, Georgia",4332.0,1021.0,23.57
13081,"Crisp County, Georgia",7951.0,2213.0,27.83
13083,"Dade County, Georgia",6074.0,1428.0,23.51
13085,"Dawson County, Georgia",10343.0,2374.0,22.95
13087,"Decatur County, Georgia",10295.0,2971.0,28.86
13089,"DeKalb County, Georgia",284730.0,97722.0,34.32
13091,"Dodge County, Georgia",6608.0,1741.0,26.35
13093,"Dooly County, Georgia",3787.0,913.0,24.11
13095,"Dougherty County, Georgia",34041.0,12852.0,37.75
13097,"Douglas County, Georgia",50552.0,12068.0,23.87
13099,"Early County, Georgia",4016.0,1171.0,29.16
13101,"Echols County, Georgia",1227.0,263.0,21.43
13103,"Effingham County, Georgia",22820.0,5173.0,22.67
13105,"Elbert County, Georgia",7873.0,2263.0,28.74
13107,"Emanuel County, Georgia",8321.0,2373.0,28.52
13109,"Evans County, Georgia",3914.0,1171.0,29.92
13111,"Fannin County, Georgia",11327.0,3063.0,27.04
13113,"Fayette County, Georgia",42888.0,7933.0,18.5
13115,"Floyd County, Georgia",35996.0,9463.0,26.29
13117,"Forsyth County, Georgia",84662.0,12815.0,15.14
13119,"Franklin County, Georgia",8539.0,2014.0,23.59
13121,"Fulton County, Georgia",450856.0,170673.0,37.86
13123,"Gilmer County, Georgia",12868.0,3275.0,25.45
13125,"Glascock County, Georgia",1052.0,322.0,30.61
13127,"Glynn County, Georgia",33991.0,9701.0,28.54
13129,"Gordon County, Georgia",20555.0,4720.0,22.96
13131,"Grady County, Georgia",9792.0,2659.0,27.15
13133,"Greene County, Georgia",7617.0,2057.0,27.01
13135,"Gwinnett County, Georgia",317971.0,66723.0,20.98
13137,"Habersham County, Georgia",15606.0,4163.0,26.68
13139,"Hall County, Georgia",69387.0,14468.0,20.85
13141,"Hancock County, Georgia",2785.0,1025.0,36.8
13143,"Haralson County, Georgia",11357.0,2795.0,24.61
13145,"Harris County, Georgia",12204.0,2551.0,20.9
13147,"Hart County, Georgia",10294.0,3065.0,29.77
13149,"Heard County, Georgia",4405.0,1127.0,25.58
13151,"Henry County, Georgia",82232.0,18304.0,22.26
13153,"Houston County, Georgia",60607.0,15945.0,26.31
13155,"Irwin County, Georgia",3566.0,1181.0,33.12
13157,"Jackson County, Georgia",25740.0,4170.0,16.2
