FIPS,elevation_meters,elevation_feet
13071,85.0,278.8714
13073,126.0,413.38584
13075,71.0,232.93964
13077,302.0,990.81368
13079,163.0,534.77692
13081,106.0,347.76904
13083,240.0,787.4016
13085,451.0,1479.65884
13087,44.0,144.35696
13089,279.0,915.35436
13091,102.0,334.64567999999997
13093,108.0,354.33072
13095,77.0,252.62468
13097,366.0,1200.78744
13099,69.0,226.37796
13101,50.0,164.042
13103,38.0,124.67192
13105,197.0,646.32548
13107,92.0,301.83728
13109,55.0,180.4462
13111,523.0,1715.87932
13113,258.0,846.45672
13115,184.0,603.67456
13117,370.0,1213.9107999999999
13119,237.0,777.55908
13121,271.0,889.10764
13123,489.0,1604.33076
13125,138.0,452.75592
13127,17.0,55.77428
13129,256.0,839.89504
13131,80.0,262.4672
13133,202.0,662.72968
13135,299.0,980.9711599999999
13137,444.0,1456.69296
13139,395.0,1295.9318
13141,165.0,541.3386
13143,355.0,1164.6982
13145,199.0,652.88716
13147,244.0,800.52496
13149,225.0,738.189
13151,249.0,816.92916
13153,100.0,328.084
13155,105.0,344.4882
13157,238.0,780.83992
13159,181.0,593.83204
13161,73.0,239.50132
13163,104.0,341.20736
13165,51.0,167.32283999999999
13167,105.0,344.4882
13169,165.0,541.3386
13171,254.0,833.33336
13173,66.0,216.53544
13175,82.0,269.02888
13177,82.0,269.02888
13179,17.0,55.77428
13181,139.0,456.03676
13183,25.0,82.021
13185,65.0,213.2546
13187,478.0,1568.24152
13189,163.0,534.77692
13191,14.0,45.93176
13193,99.0,324.80316
13195,232.0,761.15488
13197,193.0,633.20212
13199,250.0,820.21
13201,47.0,154.19948
13205,53.0,173.88452
13207,190.0,623.3596
13209,99.0,324.80316
13211,200.0,656.168
13213,242.0,793.9632799999999
13215,93.0,305.11812
13217,218.0,715.22312
13219,243.0,797.24412
13221,206.0,675.85304
13223,294.0,964.56696
13225,139.0,456.03676
13227,487.0,1597.76908
13229,43.0,141.07612
13231,251.0,823.49084
13233,321.0,1053.14964
13235,76.0,249.34384
13237,156.0,511.81104
13239,112.0,367.45408
13241,644.0,2112.86096
13243,138.0,452.75592
13245,99.0,324.80316
13247,266.0,872.70344
13249,152.0,498.68768
13251,51.0,167.32283999999999
