FIPS,county_name,median_age
06023,"Humboldt County, California",39.5
06025,"Imperial County, California",32.6
06027,"Inyo County, California",44.6
06029,"Kern County, California",32.2
06031,"Kings County, California",32.1
06033,"Lake County, California",44.5
06035,"Lassen County, California",37.2
06037,"Los Angeles County, California",37.4
06039,"Madera County, California",34.4
06041,"Marin County, California",47.4
06043,"Mariposa County, California",51.6
06045,"Mendocino County, California",43.7
06047,"Merced County, California",31.5
06049,"Modoc County, California",47.5
06051,"Mono County, California",40.5
06053,"Monterey County, California",35.1
06055,"Napa County, California",42.5
06057,"Nevada County, California",50.2
06059,"Orange County, California",38.7
06061,"Placer County, California",42.3
06063,"Plumas County, California",52.3
06065,"Riverside County, California",36.3
06067,"Sacramento County, California",36.8
06069,"San Benito County, California",35.7
06071,"San Bernardino County, California",33.9
06073,"San Diego County, California",36.7
06075,"San Francisco County, California",39.3
06077,"San Joaquin County, California",34.8
06079,"San Luis Obispo County, California",40.0
06081,"San Mateo County, California",40.3
06083,"Santa Barbara County, California",34.3
06085,"Santa Clara County, California",37.7
06087,"Santa Cruz County, California",39.2
06089,"Shasta County, California",41.7
06091,"Sierra County, California",54.9
06093,"Siskiyou County, California",47.2
06095,"Solano County, California",38.8
06097,"Sonoma County, California",42.7
06099,"Stanislaus County, California",34.5
06101,"Sutter County, California",36.0
06103,"Tehama County, California",40.3
06105,"Trinity County, California",53.2
06107,"Tulare County, California",31.5
06109,"Tuolumne County, California",48.7
06111,"Ventura County, California",39.0
06113,"Yolo County, California",32.0
06115,"Yuba County, California",33.5
08001,"Adams County, Colorado",34.4
08003,"Alamosa County, Colorado",32.2
08005,"Arapahoe County, Colorado",37.1
08007,"Archuleta County, Colorado",50.8
08009,"Baca County, Colorado",42.0
08011,"Bent County, Colorado",40.7
08013,"Boulder County, Colorado",37.0
08014,"Broomfield County, Colorado",38.6
08015,"Chaffee County, Colorado",47.8
08017,"Cheyenne County, Colorado",43.2
08019,"Clear Creek County, Colorado",49.5
08021,"Conejos County, Colorado",39.1
08023,"Costilla County, Colorado",52.8
08025,"Crowley County, Colorado",41.3
08027,"Custer County, Colorado",58.1
08029,"Delta County, Colorado",47.8
08031,"Denver County, Colorado",34.9
08033,"Dolores County, Colorado",59.2
08035,"Douglas County, Colorado",39.3
08037,"Eagle County, Colorado",38.3
08039,"Elbert County, Colorado",45.6
08041,"El Paso County, Colorado",34.7
08043,"Fremont County, Colorado",44.9
08045,"Garfield County, Colorado",37.2
08047,"Gilpin County, Colorado",47.4
08049,"Grand County, Colorado",44.6
08051,"Gunnison County, Colorado",36.4
08053,"Hinsdale County, Colorado",56.9
08055,"Huerfano County, Colorado",55.4
08057,"Jackson County, Colorado",51.5
08059,"Jefferson County, Colorado",40.2
08061,"Kiowa County, Colorado",43.3
08063,"Kit Carson County, Colorado",39.2
08065,"Lake County, Colorado",36.8
08067,"La Plata County, Colorado",41.8
08069,"Larimer County, Colorado",36.3
08071,"Las Animas County, Colorado",46.8
08073,"Lincoln County, Colorado",40.4
08075,"Logan County, Colorado",38.9
08077,"Mesa County, Colorado",40.6
08079,"Mineral County, Colorado",54.7
08081,"Moffat County, Colorado",37.1
08083,"Montezuma County, Colorado",43.7
08085,"Montrose County, Colorado",45.9
08087,"Morgan County, Colorado",36.9
08089,"Otero County, Colorado",40.5
08091,"Ouray County, Colorado",56.8
08093,"Park County, Colorado",51.3
08095,"Phillips County, Colorado",40.6
08097,"Pitkin County, Colorado",46.7
