Year,Region,State,Veteran_Suicides,Population_Estimate,Suicide_Rate_per_100000
2012,Northeastern,Massachusetts,70,400000,17.5
2012,Northeastern,New Hampshire,35,115000,30.4
2012,Northeastern,New Jersey,67,456000,14.7
2012,Northeastern,New York,196,938000,20.9
2012,Northeastern,Pennsylvania,276,964000,28.6
2012,Northeastern,Rhode Island,13,74000,17.6*
2012,Northeastern,Vermont,10,49000,20.4*
2012,Midwestern,Illinois,185,741000,25
2012,Midwestern,Indiana,157,485000,32.4
2012,Midwestern,Iowa,54,239000,22.6
2012,Midwestern,Kansas,73,225000,32.4
2012,Midwestern,Michigan,166,692000,24
2012,Midwestern,Minnesota,119,387000,30.7
2012,Midwestern,Missouri,172,510000,33.7
2012,Midwestern,Nebraska,43,146000,29.5
2012,Midwestern,North Dakota,19,64000,29.7*
2012,Midwestern,Ohio,260,906000,28.7
2012,Midwestern,South Dakota,19,75000,25.3*
2012,Midwestern,Wisconsin,103,426000,24.2
2012,Southern,Alabama,127,410000,31
2012,Southern,Arkansas,85,252000,33.7
2012,Southern,Delaware,19,81000,23.5*
2012,Southern,District of Columbia,<10,30000,--
2012,Southern,Florida,539,1668000,32.3
2012,Southern,Georgia,190,759000,25
2012,Southern,Kentucky,116,333000,34.8
2012,Southern,Louisiana,86,330000,26.1
2012,Southern,Maryland,93,441000,21.1
2012,Southern,Mississippi,72,222000,32.4
2012,Southern,North Carolina,191,780000,24.5
2012,Southern,Oklahoma,111,338000,32.8
2012,Southern,South Carolina,122,414000,29.5
2012,Southern,Tennessee,170,522000,32.6
2012,Southern,Texas,492,1679000,29.3
2012,Southern,Virginia,186,771000,24.1
2012,Southern,West Virginia,63,160000,39.4
2012,Western,Alaska,23,75000,30.7
2012,Western,Arizona,227,531000,42.7
2012,Western,California,544,1968000,27.6
2012,Western,Colorado,163,421000,38.7
2012,Western,Hawaii,25,116000,21.6
2012,Western,Idaho,47,129000,36.4
2012,Western,Montana,53,101000,52.5
2012,Western,Nevada,97,232000,41.8
2012,Western,New Mexico,65,173000,37.6
2012,Western,Oregon,140,345000,40.6
2012,Western,Utah,70,152000,46.1
2012,Western,Washington,183,603000,30.3
2012,Western,Wyoming,30,47000,63.8
2012,All,U.S. Total,6453,22332000,28.9
2013,Northeastern,Connecticut,34,219000,15.5
